Request,Batch # or Lot #,Recipe / Alternate / Version
AP Aerosol Fragrance and Can Tests,,
"COA,Viscosity,pH_JM",,
Deo Aero W/L Big X - 125 Cans,,
Deo Aerosol (Deo) Fragrance Stability,,
Deo Cream Stability,,
Deo Cream/Lotion (AP) Hedonics,,
Deo Cream/Lotion (AP) Hedonics w Control,,
Deo Cream/Lotion (Deo) Hedonics,,
Deo Cream/Lotion (Deo) Hedonics +Control,,
Deo Cream/Lotion Hedonics,,
Deo Cream/Lotion Hedonics with Control,,
Deo EU Stability,,
Deo EU Stability (AP),,
Deo EU Stability (Deo),,
Deo Glass Aerosol Testing,,
Deo LatAm Accelerated Aerosol Stability,,
Deo LatAm Aero Stability - Gas,,
Deo LatAm Aerosol Stability,,
Deo Roll-On (AP) Stability,,
Deo Roll-On (Deo) Stability,,
Deo Roll-On Stability,,
Deo Stick (AP) Stability,,
Deo Stick (Deo) Stability,,
Deo Stick (OES) Stability,,
Deo Stick Stability,,
Group Requests (Stability HRC),,
Grouping Requests,,
Hair GSP (Ext),,
Hair GSP Aerosol CUC Stability,,
Hair GSP Aerosol FoamFrag Stab. (High),,
Hair GSP Aerosol FoamFrag Stab. (Low),,
Hair GSP Aerosol MIX Stability,,
Hair GSP Aerosol SprayFrag Stab. (High),,
Hair GSP Aerosol SprayFrag Stab. (Low),,
"Hair GSP Aerosol Weightloss 2,4,8 Weeks",,
Hair GSP Physical Corrosion Assessment,,
Hair Spray QC - Dual Polymer,,
Hair Spray QC - Single Polymer,,
LatAm Accelerated Fragrance Storage,,
R-20170519-00003,03037TJ27,2E+11
R-20170814-00001,07287T001,2E+11
R-20170821-00002,44512,2E+11
R-20170830-00001,16849-125C,2E+11
R-20170830-00003,16849-125A,2E+11
R-20170907-00001,44512,2E+11
R-20170918-00001,N/A,N/A
R-20170925-00001,16861-143,TBD
R-20171002-00001,16207-51,N/A
R-20171002-00002,07315JU36,N/A
R-20171002-00003,07315JU36,N/A
R-20171003-00001,16421-126,N/A
R-20171003-00002,16421-132,N/A
R-20171003-00003,16421-154,N/A
R-20171003-00005,16421-148,N/A
R-20171003-00006,16421-150,N/A
R-20171003-00007,16421-156,N/A
R-20171004-00001,16421-148,N/A
R-20171004-00002,16421-150,N/A
R-20171004-00003,16421-156,N/A
R-20171004-00004,07146JU38,N/A
R-20171004-00005,10126JU39,N/A
R-20171004-00006,10126JU39,N/A
R-20171004-00007,10126JU39,N/A
R-20171005-00001,10116JU39,N/A
R-20171005-00002,10116JU39,N/A
R-20171005-00003,10116JU39,N/A
R-20171005-00004,01047TJ27,N/A
R-20171011-00001,N/A,TBD
R-20171012-00001,16900-118,TBD
R-20171016-00001,See Above,See Above
R-20171017-00001,16852-79,na
R-20171017-00002,See Purpose Section,See Purpose Section
R-20171018-00001,See Purpose Section,See Purpose Section
R-20171020-00002,16882-78(S2)/72(24HR,n/a
R-20171020-00003,16802-100,20000065182
R-20171020-00004,See Purpose Section,See Purpose Section
R-20171020-00005,See Purpose Section,See Purpose Section
R-20171020-00006,See Purpose Section,See Purpose Section
R-20171025-00001,16900-123,n/a
R-20171027-00002,See Purpose Section,See Purpose Section
R-20171027-00003,See Purpose Section,See Purpose Section
R-20171030-00006,See Purpose,See Purpose
R-20171030-00007,See Purpose Section,See Purpose Section
R-20171103-00001,see purpose section,n/a
R-20171106-00002,Test,Test
R-20171116-00003,16014-127a,20000009171
R-20171117-00002,16802-116,n/a
R-20171128-00001,"See ""Purpose""",2E+11
