Request,Sample,Batch,Parameter List,Parameter,Data
,S-210630-00476,,Lumisizer - VM,Lumisizer Separated Layers,1
,S-210630-00476,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
,S-210630-00476,,Lumisizer - VM,Lumisizer Separation,N
,S-210630-00476,,Lumisizer - VM,Lumisizer Separation Severity,NA
,S-210630-00476,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210128-00068,S-210319-00632,,Lumisizer - VM,Lumisizer Separation Severity,14.50
R-20210128-00068,S-210319-00632,,Lumisizer - VM,Lumisizer Onset of Major Separation,55
R-20210128-00068,S-210319-00632,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210128-00068,S-210319-00632,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210128-00068,S-210319-00632,,Lumisizer - VM,Lumisizer Separation,Y
R-20210223-00058,S-210223-01881,,Lumisizer - VM,Lumisizer Onset of Major Separation,0
R-20210223-00058,S-210223-01881,,Lumisizer - VM,Lumisizer Separation,N
R-20210223-00058,S-210223-01881,,Lumisizer - VM,Lumisizer Separation Severity,0.00
R-20210223-00058,S-210223-01881,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210223-00058,S-210223-01881,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210319-00041,S-210319-00919,,Lumisizer - VM,Lumisizer Onset of Major Separation,200
R-20210319-00041,S-210319-00919,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210319-00041,S-210319-00919,,Lumisizer - VM,Lumisizer Separation Severity,3.60
R-20210319-00041,S-210319-00919,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210319-00041,S-210319-00919,,Lumisizer - VM,Lumisizer Separation,Y
R-20210319-00043,S-210319-00965,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210319-00043,S-210319-00965,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210319-00043,S-210319-00965,,Lumisizer - VM,Lumisizer Separation,Y
R-20210319-00043,S-210319-00965,,Lumisizer - VM,Lumisizer Separation Severity,11.60
R-20210319-00043,S-210319-00965,,Lumisizer - VM,Lumisizer Onset of Major Separation,65
R-20210319-00044,S-210319-01011,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210319-00044,S-210319-01011,,Lumisizer - VM,Lumisizer Onset of Major Separation,300
R-20210319-00044,S-210319-01011,,Lumisizer - VM,Lumisizer Separation,Y
R-20210319-00044,S-210319-01011,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210319-00044,S-210319-01011,,Lumisizer - VM,Lumisizer Separation Severity,3.50
R-20210319-00045,S-210319-01057,,Lumisizer - VM,Lumisizer Separation,Y
R-20210319-00045,S-210319-01057,,Lumisizer - VM,Lumisizer Separation Severity,7.50
R-20210319-00045,S-210319-01057,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210319-00045,S-210319-01057,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210319-00045,S-210319-01057,,Lumisizer - VM,Lumisizer Onset of Major Separation,205
R-20210324-00039,S-210324-00923,,Lumisizer - VM,Lumisizer Separation,N
R-20210324-00039,S-210324-00923,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210324-00039,S-210324-00923,,Lumisizer - VM,Lumisizer Separation Severity,0.00
R-20210324-00039,S-210324-00923,,Lumisizer - VM,Lumisizer Onset of Major Separation,0
R-20210324-00039,S-210324-00923,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210330-00053,S-210330-01222,,Lumisizer - VM,Lumisizer Separation Location,0
R-20210330-00053,S-210330-01222,,Lumisizer - VM,Lumisizer Separation Severity,0.00
R-20210330-00053,S-210330-01222,,Lumisizer - VM,Lumisizer Onset of Major Separation,0
R-20210330-00053,S-210330-01222,,Lumisizer - VM,Lumisizer Separation,N
R-20210330-00053,S-210330-01222,,Lumisizer - VM,Lumisizer Separated Layers,0
R-20210330-00054,S-210330-01176,,Lumisizer - VM,Lumisizer Separation Location,0
R-20210330-00054,S-210330-01176,,Lumisizer - VM,Lumisizer Separation,N
R-20210330-00054,S-210330-01176,,Lumisizer - VM,Lumisizer Separated Layers,0
R-20210330-00054,S-210330-01176,,Lumisizer - VM,Lumisizer Separation Severity,0.00
R-20210330-00054,S-210330-01176,,Lumisizer - VM,Lumisizer Onset of Major Separation,0
R-20210331-00049,S-210331-00660,,Lumisizer - VM,Lumisizer Onset of Major Separation,0
R-20210331-00049,S-210331-00660,,Lumisizer - VM,Lumisizer Separation,N
R-20210331-00049,S-210331-00660,,Lumisizer - VM,Lumisizer Separated Layers,0
R-20210331-00049,S-210331-00660,,Lumisizer - VM,Lumisizer Separation Severity,0.00
R-20210331-00049,S-210331-00660,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210331-00050,S-210331-00752,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210331-00050,S-210331-00752,,Lumisizer - VM,Lumisizer Separation,Y
R-20210331-00050,S-210331-00752,,Lumisizer - VM,Lumisizer Onset of Major Separation,10
R-20210331-00050,S-210331-00752,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210331-00050,S-210331-00752,,Lumisizer - VM,Lumisizer Separation Severity,4.70
R-20210331-00051,S-210331-00706,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210331-00051,S-210331-00706,,Lumisizer - VM,Lumisizer Onset of Major Separation,120
R-20210331-00051,S-210331-00706,,Lumisizer - VM,Lumisizer Separation,Y
R-20210331-00051,S-210331-00706,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210331-00051,S-210331-00706,,Lumisizer - VM,Lumisizer Separation Severity,9.00
R-20210405-00003,S-210405-00131,,Lumisizer - VM,Lumisizer Onset of Major Separation,60
R-20210405-00003,S-210405-00131,,Lumisizer - VM,Lumisizer Separation,Y
R-20210405-00003,S-210405-00131,,Lumisizer - VM,Lumisizer Separation Severity,1.70
R-20210405-00003,S-210405-00131,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210405-00003,S-210405-00131,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Separation,Y
R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Onset of Major Separation,115
R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Separation Severity,4.74
R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separation,Y
R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separation Severity,5.75
R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Onset of Major Separation,105
R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Separation,Y
R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Separated Layers,3
