,Request,Sample,Batch,Parameter List,Parameter,Data,Batch # or Lot #,Recipe / Alternate / Version
0,,S-210630-00476,,Lumisizer - VM,Lumisizer Separated Layers,1,,
1,,S-210630-00476,,Lumisizer - VM,Lumisizer Onset of Major Separation,,,
2,,S-210630-00476,,Lumisizer - VM,Lumisizer Separation,N,,
3,,S-210630-00476,,Lumisizer - VM,Lumisizer Separation Severity,,,
4,,S-210630-00476,,Lumisizer - VM,Lumisizer Separation Location,,,
5,R-20210128-00068,S-210319-00632,,Lumisizer - VM,Lumisizer Separation Severity,14.50,EXP-20-BG4315,
6,R-20210128-00068,S-210319-00632,,Lumisizer - VM,Lumisizer Onset of Major Separation,55,EXP-20-BG4315,
7,R-20210128-00068,S-210319-00632,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-20-BG4315,
8,R-20210128-00068,S-210319-00632,,Lumisizer - VM,Lumisizer Separation Location,Bottom,EXP-20-BG4315,
9,R-20210128-00068,S-210319-00632,,Lumisizer - VM,Lumisizer Separation,Y,EXP-20-BG4315,
10,R-20210223-00058,S-210223-01881,,Lumisizer - VM,Lumisizer Onset of Major Separation,0,,
11,R-20210223-00058,S-210223-01881,,Lumisizer - VM,Lumisizer Separation,N,,
12,R-20210223-00058,S-210223-01881,,Lumisizer - VM,Lumisizer Separation Severity,0.00,,
13,R-20210223-00058,S-210223-01881,,Lumisizer - VM,Lumisizer Separated Layers,1,,
14,R-20210223-00058,S-210223-01881,,Lumisizer - VM,Lumisizer Separation Location,,,
15,R-20210319-00041,S-210319-00919,,Lumisizer - VM,Lumisizer Onset of Major Separation,200,EXP-21-AY9479,200000223968/000/001
16,R-20210319-00041,S-210319-00919,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,EXP-21-AY9479,200000223968/000/001
17,R-20210319-00041,S-210319-00919,,Lumisizer - VM,Lumisizer Separation Severity,3.60,EXP-21-AY9479,200000223968/000/001
18,R-20210319-00041,S-210319-00919,,Lumisizer - VM,Lumisizer Separated Layers,3,EXP-21-AY9479,200000223968/000/001
19,R-20210319-00041,S-210319-00919,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AY9479,200000223968/000/001
20,R-20210319-00043,S-210319-00965,,Lumisizer - VM,Lumisizer Separation Location,Bottom,SG1710652,na
21,R-20210319-00043,S-210319-00965,,Lumisizer - VM,Lumisizer Separated Layers,2,SG1710652,na
22,R-20210319-00043,S-210319-00965,,Lumisizer - VM,Lumisizer Separation,Y,SG1710652,na
23,R-20210319-00043,S-210319-00965,,Lumisizer - VM,Lumisizer Separation Severity,11.60,SG1710652,na
24,R-20210319-00043,S-210319-00965,,Lumisizer - VM,Lumisizer Onset of Major Separation,65,SG1710652,na
25,R-20210319-00044,S-210319-01011,,Lumisizer - VM,Lumisizer Separated Layers,3,SG1710653,na
26,R-20210319-00044,S-210319-01011,,Lumisizer - VM,Lumisizer Onset of Major Separation,300,SG1710653,na
27,R-20210319-00044,S-210319-01011,,Lumisizer - VM,Lumisizer Separation,Y,SG1710653,na
28,R-20210319-00044,S-210319-01011,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,SG1710653,na
29,R-20210319-00044,S-210319-01011,,Lumisizer - VM,Lumisizer Separation Severity,3.50,SG1710653,na
30,R-20210319-00045,S-210319-01057,,Lumisizer - VM,Lumisizer Separation,Y,,na
31,R-20210319-00045,S-210319-01057,,Lumisizer - VM,Lumisizer Separation Severity,7.50,,na
32,R-20210319-00045,S-210319-01057,,Lumisizer - VM,Lumisizer Separation Location,Bottom,,na
33,R-20210319-00045,S-210319-01057,,Lumisizer - VM,Lumisizer Separated Layers,2,,na
34,R-20210319-00045,S-210319-01057,,Lumisizer - VM,Lumisizer Onset of Major Separation,205,,na
35,R-20210324-00039,S-210324-00923,,Lumisizer - VM,Lumisizer Separation,N,F-210215-00050,200000252886/000/000
36,R-20210324-00039,S-210324-00923,,Lumisizer - VM,Lumisizer Separation Location,,F-210215-00050,200000252886/000/000
37,R-20210324-00039,S-210324-00923,,Lumisizer - VM,Lumisizer Separation Severity,0.00,F-210215-00050,200000252886/000/000
38,R-20210324-00039,S-210324-00923,,Lumisizer - VM,Lumisizer Onset of Major Separation,0,F-210215-00050,200000252886/000/000
39,R-20210324-00039,S-210324-00923,,Lumisizer - VM,Lumisizer Separated Layers,1,F-210215-00050,200000252886/000/000
40,R-20210330-00053,S-210330-01222,,Lumisizer - VM,Lumisizer Separation Location,0,EXP-21-BH7506,
41,R-20210330-00053,S-210330-01222,,Lumisizer - VM,Lumisizer Separation Severity,0.00,EXP-21-BH7506,
